libelle_evenements,grande_categorie,code_categorie,Adresse,Numéro,categorie_nom,Nom de la structure,Code Postal,Ville,Lat,Lng,sous_categorie,refugie,asile,Sexe,family,Langues.1,Langues.2,Langues.3,code
 Formation français,formation-emploi,202,"1 Allée Henri Matisse, Aubervilliers, France",6951,FORMATION_EMPLOI,Salle de quartier Maladrerie Émile Dubois,93300,Aubervilliers,2.3981598000000304,48.91492989999999,"Accompagnement social, Formation français, Activités, Bien-être",False,False,mixte,True,français,,,93
 Soutien scolaire,formation-emploi,206,"1 Avenue du Président Salvador Allende, 93100 Montreuil, France",3099,FORMATION_EMPLOI,Centre Social SFM Montreuil,93100,Montreuil,2.4558431000000382,48.8693083,"Formation français, Ecrivain public, Garde d'enfants, Soutien scolaire",False,False,mixte,True,français,,,93
 Atelier numérique,activite,201,"1 Avenue Jean Jaurès, Villetaneuse, France",7138,FORMATION_EMPLOI,Centre socioculturel Clara Zetkin,93430,Villetaneuse,2.34429369999998,48.9645371,"Ordinateur, Atelier numérique, Activités, Sport, Conseil administratif, Permanence juridique",False,False,mixte,True,français,,,93
 Accompagnement à l'emploi,formation-emploi,203,1 bis Avenue André Audubert 33480 Castelnau de Médoc,4591,FORMATION_EMPLOI,MDS de Castelnau-du-Médoc,33480,Castelnau-de-Médoc,-0.7985211000000163,45.0284305,"Accompagnement social, Addiction, Généraliste, Psychologie, Suivi grossesse, Accompagnement à l'emploi, Conseil handicap, Conseil administratif, Prise",True,True,mixte,True,français,,,33
 Formation français,formation-emploi,202,"1 Boulevard du Palais, Paris, France",3037,FORMATION_EMPLOI,Accueil de jour Paris 4,75004,Paris,2.34682429999998,48.8556825,"Accueil de jour, Conseil administratif, Permanence juridique, Accompagnement social, Dépistage, Formation français, Douche, Bien-être, Toilettes, Conseil logement, Restauration assise, Restauration assise, Restauration assise, Wifi, Prise, Distribution alimentaire, Activités",True,True,homme,False,français, anglais, allemand,75
 Chantier d'insertion,formation-emploi,205,"1 Place Alice Guy, Paris, France",6202,FORMATION_EMPLOI,Food de rue,75014,Paris,2.3133847999999944,48.8269974,"Chantier d'insertion, Epicerie Sociale",False,False,femme,False,français,,,75
 Atelier numérique,activite,201,"1 Place Aristide Briand, 33140 Villenave-d'Ornon, France",3777,FORMATION_EMPLOI,"Escale solidaire ""Ensemble""",33140,Villenave-d'Ornon,-0.5677118999999493,44.7820757,"Epicerie Sociale, Bien-être, Atelier numérique, Activités, Activités, Activités, Activités",False,False,mixte,True,français,,,33
 Accompagnement à l'emploi,formation-emploi,203,"1 Place Foch, Gagny, France",4553,FORMATION_EMPLOI,Mission Locale Intercommunale - antenne de Gagny,93220,Gagny,2.5361921999999595,48.8849721,"Accompagnement social, Accompagnement à l'emploi, Accompagnement à l'emploi, Ordinateur",True,True,mixte,False,français,,,93
 Formation français,formation-emploi,202,"1 Rue Blaise-Desgoffe, 75006 Paris, France",3702,FORMATION_EMPLOI,Croix Rouge Française Paris 6,75006,Paris,2.3243812000000617,48.8461498,"Accompagnement social, Conseil administratif, Ecrivain public, Ordinateur, Atelier numérique, Formation français, Formation français",True,True,mixte,False,français, anglais, espanol,75
 Accompagnement à l'emploi,formation-emploi,203,"1 Rue de Verdun, 33340 Lesparre-Médoc, France",8134,FORMATION_EMPLOI,D2C Médoc,33340,Lesparre-Médoc,-0.9373287,45.3086748,Accompagnement à l'emploi,False,False,mixte,False,français,,,33
